address,name,current_delegation,percentage,delegation_amount,,,
junovaloper13v4spsah85ps4vtrw07vzea37gq5la5gktlkeu,Sentinel,"2776486,33","28,66903516",,,,"9684617,276"
junovaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcqcnylw,SG-1,"1281826,47","13,23569571",,,,
junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,0base.vc,"925446,23","9,555836904",,,,
junovaloper1t8ehvswxjfn3ejzkjtntcyrqwvmvuknzmvtaaa,Cosmostation,"522198,07","5,392036238",20000,,,
junovaloper1sjllsnramtg3ewxqwwrwjxfgc4n4ef9uxyejze,stakefish,"328988,85","3,397024793",,,,
junovaloper194v8uwee2fvs2s8fa5k7j03ktwc87h5ym39jfv,Disperze,"253787,74","2,620524166",50000,,,
junovaloper1eh5mwu044gd5ntkkc2xgfg8247mgc56fww3vc8,BouBouNode,"241988,71","2,498691552",,,,
junovaloper1z3svprqzmquw6mckh6rgyt0dmd4yhv7c6l58qc,0% fees 🚀 | BlueStake,"240858,00","2,487016198",,,,
junovaloper1lzhlnpahvznwfv4jmay2tgaha5kmz5qx4cuznf,Citadel.one,"237915,65","2,456634547",25000,,,
junovaloper15urq2dtp9qce4fyc85m6upwm9xul304945tllg,Chorus One,"217543,10","2,246274621",,,,
junovaloper1q3jsx9dpfhtyqqgetwpe5tmk8f0ms5qywje8tw,SmartNodes,"215359,94","2,223732072",27500,,,
junovaloper1s33zct2zhhaf60x4a90cpe9yquw99jj0ay9g6j,dimi 🦙,"202213,37","2,087985103",,,,
junovaloper17n3w6v5q3n0tws4xv8upd9ul4qqes0nlg7q0xd,0% fee - Imperator.co,"197715,45","2,041541179",25000,,,
junovaloper1y0us8xvsvfvqkk9c6nt5cfyu5au5tww2wsdcwk,Swiss Staking,"174624,13","1,803108167",5700,,,
junovaloper130mdu9a0etmeuw52qfxk73pn0ga6gawk2tz77l,strangelove-ventures,"149647,07","1,545203722",25000,,,
junovaloper1jc9fr7s5kal8878trt86ne0k353r4yd6a60zak,Provalidator,"143823,18","1,48506826",,,,
junovaloper1juczud9nep06t0khghvm643hf9usw45r23gsmr,ITA Stakers,"131724,00","1,360136351",12000,,,
junovaloper16gm3cvhluf9xfurkx9qgxq7pldvd479l5359xq,SpacePotato,"106008,00","1,094601851",17000,,,
junovaloper10wxn2lv29yqnw2uf4jf439kwy5ef00qdelfp7r,KingNodes (nullmames),"97007,50","1,001665809",25000,,,
junovaloper18qw9ydpewh405w4lvmuhlg9gtaep79vy44dycn,meow,"96984,04","1,001423616",,,,
junovaloper1ptyzewnns2kn37ewtmv6ppsvhdnmeapv8jey5z,WeStaking,"88501,96","0,9138405697",15600,,,
junovaloper1wd02ktcvpananlvd9u6jm3x3ap3vmw59jv9vez,0% fees for 2021 | Lavender.five,"68065,58","0,7028215552",5000,,,
