address,amount
juno1gjtvly9lel6zskvwtvlg5vhwpu9c9wawdk3v9f,500
juno1q4aw0vtcydtn7lqmkfprm4ncmr4jdj70ggc6sp,500
juno1eslgmvrdyfr7rzkur93q7u6wnknv56lr3dpy5p,500
juno17dn5e2n6w60pzyxeq79apr05r6jzfw7wha8558,500
juno1ktf6atsyyer5c3wpzsfswq6lxg7p58aw0502gz,500
juno1qcrjhyp0x7ft5k0duz8gxx4cmwqaxv7lujffxd,500
juno1ncu32g0lzhk0epzdar7smd3qv9da2n8wcxcuw0,500
juno1kvh5n7skften3fv2ry6yc5jkpaz0rwzrjymjm0,500
juno1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4f0wyde,500
juno1aevx3gfvvdce60ql75fp6j4fzj42lru9gj6cme,500
juno1tx3ladcmy45schan7tp5qgz5kwhdzjvjsvqfgg,500
juno193486ateqqf3v7z89x74zx9s85xketdyrcaysf,500
juno1sgghjqdrj9kujkx38q04d99qsljwfd6mee4lt0,500
juno1hyjhy0tp6geral2g9vj9nyteglf8t5q4lf7ggf,500
juno16467xlswtq874gj30lrwgae2jqfn64du4gc34l,500
juno1mmp952nf6nhu7c27sx47jesgg7xwpmqtjnav06,500
juno1353ewfc0v7pnn3xre6v9lraghxrhenswydychk,500
juno1xmkq396sjsy65nu8mne4dzecd60f4ws39rz9vg,500
juno1s0lankh33kprer2l22nank5rvsuh9ksagpglpn,500
juno1353ewfc0v7pnn3xre6v9lraghxrhenswydychk,500
juno18408tsgw0dfx0u6wkzu4vymszswfe404xcdr9k,500
juno1x73p5aukx7ak8c2gss3ctvdlqyln38xjvtmaug,500
juno1mzqqrctm0hvkghf66jruxjtggd5j447dyp7d5t,500
juno1wu4kawzdqnklqy2m43glsztrqsuha576wdzlh0,500
juno1gsjfwpfskfzkwl97tlsph8n2ap0gyjuc7jy33l,500
juno15gn7crx5v3gnnm0c6sjz2gzjnph3a4t9n5rvg4,500
juno17skjxhtt54prnpxcs7a5rv9znlldpe5kwmn2nc,500
juno16x0dgj63ktv27gde8d5cuaeg4a8zng9j4zrp82,500
juno18n9rf7esykydt2v9t0rx827ea33p2278pzptnz,500
juno1rhjvcesshc833dqwdlwskwcjz08gcnxq604mx3,500
juno1kg99k8wd67r0ffxwavgnxup7yk46rvtt47rle3,500
juno12maevnhvagm97wwdxwsxtpnevst94hyp7qz3ky,500
juno1p0nwv6qd0tl5320c44k8uag4t233gc6y9pxaua,500
juno1l6rqxuqz2rrapnfkhpurux0xa369f0c094hvh9,500
juno1cgh5ksjwy2sd407lyre4l3uj2fdrqhpk38c5j4,500
juno1m4z6c9f0ejr7nd7cpusvpua3yckyueqkd7ksy8,500
juno1crahxw78hpjt5vg8llm97rzzd7we8zl2yu2fp6,500
juno1w44lpcx0vq8cu2fmzvc0whzk3u23xfrafxv5z5,500
juno16msryt3fqlxtvsy8u5ay7wv2p8mglfg9hrek2e,500
juno1kuee6rw6nma6l42yklvxmqdrw9x0elw7ugcy69,500
juno1qav90dwzp9z4wljg977rz2hwx6ayvmsyrskpe2,500
juno1kvh5n7skften3fv2ry6yc5jkpaz0rwzrjymjm0,500
juno1kafr4aqw7n6vdpuaqtpysvhm4ljjd6xnygdfzq,500
juno1wke3ev9ja6rxsngld75r3vppcpet94xx2xr7n9,500
juno1xchq3kyhhmfd4srvtw47pl5927rr00kj2vy43g,500
juno1shgwh20zdmtu63z3ls97wdsxnhrlssz9n4m7zn,500
juno1wjcvwh03rege9ypfy3z42f99dcd4m9cqzdcgj2,500
juno1y3xcj4w9a6nx942ddntmdmg9ck3x2etxvn3j0w,500
juno1mxpyg8u68k6a8wdu3hs5whcpw9q285pc7mdmll,500
juno1wuzqc83rdzfxxremcg9v6lt9adxfpz82vh7mac,500
