address,amount
junovaloper1wd02ktcvpananlvd9u6jm3x3ap3vmw59jv9vez,38500
junovaloper17skjxhtt54prnpxcs7a5rv9znlldpe5k3x99gp,35000
junovaloper1ptyzewnns2kn37ewtmv6ppsvhdnmeapv8jey5z,6000
junovaloper16gm3cvhluf9xfurkx9qgxq7pldvd479l5359xq,22000
junovaloper1rqmmaxkzy3jujgatn2walhnjf92zye7myf79mx,31500
junovaloper1ehkfl7palwrh6w2hhr2yfrgrq8jetgucskr2e0,12500
junovaloper1dru5985k4n5q369rxeqfdsjl8ezutch8mc6nx9,30000
junovaloper1083svrca4t350mphfv9x45wq9asrs60cpqzg0y,38500
junovaloper1juczud9nep06t0khghvm643hf9usw45r23gsmr,16600
junovaloper1quqxfrxkycr0uzt4yk0d57tcq3zk7srm7sm6r8,21500
junovaloper17dn5e2n6w60pzyxeq79apr05r6jzfw7wgq3m07,40000
junovaloper1p0r4znp29547d8ra5k8t6ls0ztm3tj74ak38wz,28500
junovaloper1eqwz3j9cv7q3jjy2alzy02hy5amlqmacm0z65q,25000
junovaloper10jm8fvdyqlj78w0j5nawc76wsn4pqmdxnpxsgg,10000
junovaloper1mkwjmcya6329eyjkswlzeshaqsuc2m5q0mn04y,9000
junovaloper1kg99k8wd67r0ffxwavgnxup7yk46rvtt2r4szg,15000
junovaloper175q6smvgnuec5e62rs4chnu5cs8d98q2e4l6cl,26000
junovaloper1sgghjqdrj9kujkx38q04d99qsljwfd6mxyrssk,15000
junovaloper1cgh5ksjwy2sd407lyre4l3uj2fdrqhpkw6wmfv,6000
junovaloper189nl8q7rm4ks2t2l7qwe7j49w7sagw4y8uk2nd,30000
junovaloper1mzqqrctm0hvkghf66jruxjtggd5j447dmugz0j,6000
junovaloper1la7th9kc3gdltl53cedxxqpkyk5runudrzwx55,12500
junovaloper142vtwu440zchsws4llnq5rknmslvw2fx55yswx,13500
junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,15500
junovaloper1fj75m0v53ezdd8mlknzgdg4l3hvwh0h20sg4a8,6500
junovaloper1hx9yj7qgnp8zhkrqfanvz74mcsg9d8eyskvsxg,25000
junovaloper1ywk2vuqezuslxxs8s7lv2t2622j6raf346guh6,6000
junovaloper1zhgppyrs988x4spqxqchflg74qusw2cxxeqmnn,25000
junovaloper1zxx8j75ngm8m38v9l5wreaavwnsuun7gcq5cu8,21500
junovaloper16msryt3fqlxtvsy8u5ay7wv2p8mglfg9g70e3q,15000
junovaloper1jxv0u20scum4trha72c7ltfgfqef6nscm9pmg2,9000
junovaloper1dt93l3qgmhhlp97srjyqyendrgu9nx0ssa20f3,6000
junovaloper1xwazl8ftks4gn00y5x3c47auquc62ssuvynw64,31500
junovaloper1qcrjhyp0x7ft5k0duz8gxx4cmwqaxv7lr0lxa5,12500
junovaloper10y7ucn6jhjtakwchgpw32y0tgaku6yn255z7gm,30000
junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,6000
junovaloper18eancryfzd7n0ag9xy3azqvxgkjla2mrs2uznx,6000
junovaloper166r5ylkp70xe0ysq2hjxn26m4q9vfn8q3lv46c,12500
junovaloper1mxpyg8u68k6a8wdu3hs5whcpw9q285pcpxm5yx,12500
junovaloper1353ewfc0v7pnn3xre6v9lraghxrhenswmsjhv0,6000
junovaloper1c9ye54e3pzwm3e0zpdlel6pnavrj9qqv0rx2l4,9000
junovaloper1q6d3d089hg59x6gcx92uumx70s5y5wad6yachx,6000
junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,6000
junovaloper1wtv0kp6ydt03edd8kyr5arr4f3yc52vpa8t8p2,6000
junovaloper1x73p5aukx7ak8c2gss3ctvdlqyln38xjnkdj83,6000
junovaloper1uwm8vhauj6wfj8ydlty3nr6ffeu9lg6j3ma59s,6500
junovaloper1ualhu3fjgg77g485gmyswkq3w0dp7gyskmr0n6,9000
junovaloper1y3aaqvxn6hyqh05ektsy0zrymvne3qcqkqggve,12500
junovaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4pvzc6k3,6000
junovaloper19w9huamhq32shes95dr4kmqequ5pe450up6wvf,15000
junovaloper1n6sqhcpypv9ln7f5x3mxleh4rdqr3vz5tymw9e,9000
junovaloper1ww5s8k6820cft2v75cdptesqz3kc27n333arp2,12500
junovaloper1c3svv8kgq5w37r2ge0ux74dz8kpkrza7v8jg9w,10500
junovaloper1me5ts52qg98s76nketn5gckj9p6nu9zc79a68u,9000
junovaloper16467xlswtq874gj30lrwgae2jqfn64du24w7wx,10000
junovaloper193xl2tqh2tjkld2zv49ku5s44ee4qmgr65jcep,15000
junovaloper1hy0ghet66ckm6ejmnh8eaawqadf7gp22d2y3lf,6000
junovaloper1v4ukcu8pty0tzdd2kwausw0wtdt5pwx8q9zrek,5500
junovaloper1345rra7x6uswe2z708zx3q7wj04e6wsykw2mk6,15500
junovaloper1am80fauk3gnzcr76ylg0yju4f0chen5x6zmq7q,10000
